name,datetime,tempmax,tempmin,temp,humidity
delhi,01-01-2023,20.1,7.9,13.4,79.8
delhi,02-01-2023,17,9,12.4,87.9
delhi,03-01-2023,15.3,7.9,11.2,85.6
delhi,04-01-2023,15,6.9,9.6,90.1
delhi,05-01-2023,14.5,5.7,8.9,91
delhi,06-01-2023,14.7,6.1,9.1,87.7
delhi,07-01-2023,14.2,5,8.3,89.2
delhi,08-01-2023,16.8,4,9.2,90.7
delhi,09-01-2023,17.7,6.5,11,91.8
delhi,10-01-2023,17,7,11.1,88.6
delhi,11-01-2023,19,6.7,11.9,87.6
delhi,12-01-2023,20.7,10,14.4,87
delhi,13-01-2023,21,12,15.1,90.5
delhi,14-01-2023,17.7,10,13,82
delhi,15-01-2023,16.4,5,10.5,59.6
delhi,16-01-2023,17.6,4.8,10.6,61.2
delhi,17-01-2023,18.7,4.9,11,59.5
delhi,18-01-2023,18.4,5.6,11,60.1
delhi,19-01-2023,21.1,7.1,14.3,54.4
delhi,20-01-2023,22.6,11,16.2,62.1
delhi,21-01-2023,22.4,9.3,15.1,80
delhi,22-01-2023,23,10,15.6,72.4
delhi,23-01-2023,24.8,10,16.6,68.2
delhi,24-01-2023,20.6,13.8,17.1,81.5
delhi,25-01-2023,18.6,12.4,15.5,91.8
delhi,26-01-2023,16.2,12,14.2,94.1
delhi,27-01-2023,19.8,7,12.9,65.8
delhi,28-01-2023,22.6,5,13.5,68.6
delhi,29-01-2023,17,9.4,13,91.8
delhi,30-01-2023,18.6,12,14.5,93.5
delhi,31-01-2023,19.4,12,14.7,92.9
delhi,01-02-2023,20,10,14.2,82
delhi,02-02-2023,23.6,9,15.8,68
delhi,03-02-2023,23.3,9,16.2,68.8
delhi,04-02-2023,24.7,11.5,17.2,65.8
delhi,05-02-2023,25,12,17.5,67.1
delhi,06-02-2023,27.8,11.3,19.7,65.2
delhi,07-02-2023,24.8,13,18.4,70
delhi,08-02-2023,24,11,16.9,60.1
delhi,09-02-2023,28.2,11,19.3,60.8
delhi,10-02-2023,28.8,14,21.2,61
delhi,11-02-2023,26.8,15.6,20.1,74.9
delhi,12-02-2023,23,12,17.3,49.7
delhi,13-02-2023,22.1,9,15.5,41.8
delhi,14-02-2023,25.2,10.5,17.2,43.2
delhi,15-02-2023,27,11,18.6,52.7
delhi,16-02-2023,27.4,12.8,19.8,67.8
delhi,17-02-2023,28.3,15.3,21.1,72.5
delhi,18-02-2023,28.8,14.3,21,70.9
delhi,19-02-2023,29.9,14.4,21.7,69.3
delhi,20-02-2023,32,15.7,23.3,63.3
delhi,21-02-2023,30.5,17,22.8,67.4
delhi,22-02-2023,27.2,16,21.1,77.3
delhi,23-02-2023,28.5,15,21,60.9
delhi,24-02-2023,29.3,13.3,20.7,58.3
delhi,25-02-2023,29.7,14.3,21.7,61.2
delhi,26-02-2023,31.2,15.4,23.3,56.3
delhi,27-02-2023,31.5,16.7,23.5,57
delhi,28-02-2023,30,16,22.8,55.1
delhi,01-03-2023,29,19,23.2,48.7
delhi,02-03-2023,30.5,16.7,23.5,56.6
delhi,03-03-2023,31,17,23.6,59.3
delhi,04-03-2023,26,18.6,22.3,57.3
delhi,05-03-2023,30.2,17.6,23.5,55
delhi,06-03-2023,29.6,17,23.1,57.2
delhi,07-03-2023,30.4,17.4,23.5,50.3
delhi,08-03-2023,29.2,17.2,23.4,51.6
delhi,09-03-2023,29.2,18.7,23.9,51
delhi,10-03-2023,29.9,17.3,23.7,60.7
delhi,11-03-2023,31.6,18,24.5,53.1
delhi,12-03-2023,33.1,17.3,25.3,46.2
delhi,13-03-2023,33,18.9,25.7,50.6
delhi,14-03-2023,32.7,20,25.8,54.9
delhi,15-03-2023,33.5,19.5,26.2,49.9
delhi,16-03-2023,32.4,21.7,26.3,44.6
delhi,17-03-2023,29,19.7,24.2,49.3
delhi,18-03-2023,25,18,20.7,80.7
delhi,19-03-2023,26,17,20.8,84
delhi,20-03-2023,25.7,16,20,81.4
delhi,21-03-2023,24,16,19.9,81.5
delhi,22-03-2023,28,16.2,21.2,74.5
delhi,23-03-2023,29.6,17,23.4,61.3
delhi,24-03-2023,28,19,22.2,71.5
delhi,25-03-2023,28.7,17,22.8,70.7
delhi,26-03-2023,30.1,18.2,24.2,51.4
delhi,27-03-2023,27.9,18,23,58.9
delhi,28-03-2023,30.1,17.6,24.1,52.6
delhi,29-03-2023,32.5,18.5,24.9,53.3
delhi,30-03-2023,31.9,18,23.5,63.6
delhi,31-03-2023,26.6,17.2,20.7,81.2
delhi,01-04-2023,28,17,21,79.7
delhi,02-04-2023,29.2,17.2,23.3,68
delhi,03-04-2023,31.1,18.8,24.7,59.8
delhi,04-04-2023,30,18.3,24.5,57.9
delhi,05-04-2023,32,18,25,47.2
delhi,06-04-2023,32,18.8,25.8,37.6
delhi,07-04-2023,32.9,18.2,26.1,34.6
delhi,08-04-2023,33.1,19,26.4,30.3
delhi,09-04-2023,35,18.2,27.3,31.5
delhi,10-04-2023,34.1,18.2,27.1,31
delhi,11-04-2023,36.2,19.2,28.5,31
delhi,12-04-2023,36,23.5,29.6,32.1
delhi,13-04-2023,38,21.3,30,31.9
delhi,14-04-2023,38.3,22.6,30.9,26.3
delhi,15-04-2023,40.1,22.9,32.3,24.7
delhi,16-04-2023,40,24.9,32.6,28.3
delhi,17-04-2023,40,23.9,32.3,30
delhi,18-04-2023,39,24.5,32.9,31.6
delhi,19-04-2023,37.3,25,31.4,35.1
delhi,20-04-2023,34.8,25,29.2,40
delhi,21-04-2023,35.5,23,29.2,35.1
delhi,22-04-2023,35.5,22.7,29.5,29.1
delhi,23-04-2023,31,24,27.1,28.2
delhi,24-04-2023,33.2,22,26.9,35
delhi,25-04-2023,34,21.7,27.6,36.3
delhi,26-04-2023,35.9,22.6,29.1,35.5
delhi,27-04-2023,37.8,23,29.9,33.6
delhi,28-04-2023,34,24,28.4,41.4
delhi,29-04-2023,32.7,23.8,27.9,43.4
delhi,30-04-2023,29.6,22.3,25.7,58.4
delhi,01-05-2023,24.9,20,21.7,89.7
delhi,02-05-2023,27.4,21,23.4,83.3
delhi,03-05-2023,29.8,19.7,22.8,85.4
delhi,04-05-2023,31,18.6,24.6,71.2
delhi,05-05-2023,33.1,21.7,27.9,56.9
delhi,06-05-2023,35,23,28.6,49.4
delhi,07-05-2023,37,22.9,29.4,46.3
delhi,08-05-2023,35.6,23.1,29.2,53
delhi,09-05-2023,37,22.5,30.3,35.8
delhi,10-05-2023,36.1,24,30.5,24.8
delhi,11-05-2023,38,22.1,31.1,29.7
delhi,12-05-2023,41,22.9,32.8,27.9
delhi,13-05-2023,40.1,25.1,33.5,31.6
delhi,14-05-2023,40,28.5,33.6,30.8
delhi,15-05-2023,41,27,33.9,27.6
delhi,16-05-2023,39,28,33.4,30.4
delhi,17-05-2023,40.2,27.3,33.3,33.3
delhi,18-05-2023,36,24,29.8,50.9
delhi,19-05-2023,38,25.1,31.9,40.5
delhi,20-05-2023,40,25.1,33.5,32.9
delhi,21-05-2023,42.2,26.1,35.7,27.5
delhi,22-05-2023,44,28.4,36.9,26.7
delhi,23-05-2023,44,31.8,36.9,25
delhi,24-05-2023,33,26,30,46.3
delhi,25-05-2023,35.3,22,28.6,53.4
delhi,26-05-2023,33.3,22.8,28.2,52.6
delhi,27-05-2023,32.1,20,27.3,66.7
delhi,28-05-2023,34,24.4,29.8,62
delhi,29-05-2023,34,22.8,27,69.7
delhi,30-05-2023,34.7,22,27.1,68.7
delhi,31-05-2023,30.5,22,25.2,81.3
delhi,01-06-2023,31.3,21.8,26,73.3
delhi,02-06-2023,33.4,22.5,28.5,53.9
delhi,03-06-2023,35.5,24.4,30.4,49
delhi,04-06-2023,33,25,29.4,60.3
delhi,05-06-2023,37.2,25.9,31.7,52.6
delhi,06-06-2023,38,24,31.5,48.1
delhi,07-06-2023,38,25.9,32.4,39.3
delhi,08-06-2023,39,26,33.8,35.1
delhi,09-06-2023,40.1,28.8,33.8,40.9
delhi,10-06-2023,41,28.4,34.4,39.5
delhi,11-06-2023,38,27,32.8,48.5
delhi,12-06-2023,40,29,34.9,45.1
delhi,13-06-2023,41.2,31.2,36.5,39.7
delhi,14-06-2023,40.1,30,35.4,40.4
delhi,15-06-2023,37,29,33.5,45.2
delhi,16-06-2023,38.1,28,32,56.2
delhi,17-06-2023,37.6,28.8,32.5,62
delhi,18-06-2023,35.5,29,31.5,66.2
delhi,19-06-2023,33.2,26,28.6,81
delhi,20-06-2023,36.9,27,31.6,67.8
delhi,21-06-2023,36.3,26,31,71.7
delhi,22-06-2023,36.5,29,32.4,68.1
