name,datetime,tempmax,tempmin,temp,humidity
australia,01-01-2023,25.8,16.2,20.5,75.4
australia,02-01-2023,29.1,17.8,22,71.3
australia,03-01-2023,31.8,12.1,21.3,71.1
australia,04-01-2023,23.8,13.9,17.7,84.6
australia,05-01-2023,18.7,12.2,14.8,66.5
australia,06-01-2023,19.7,10.2,14.9,67.4
australia,07-01-2023,21.1,8.1,15.4,65.8
australia,08-01-2023,27,6.4,17,62.1
australia,09-01-2023,31.8,9.2,20.5,56.5
australia,10-01-2023,28.2,10,20,58.2
australia,11-01-2023,29.8,11.4,19.9,64.7
australia,12-01-2023,32,18.1,23.4,63
australia,13-01-2023,29.9,15,22.6,65
australia,14-01-2023,29.1,18.8,23.1,57.9
australia,15-01-2023,32.8,13.2,21,70.5
australia,16-01-2023,26.7,16.9,21,71.7
australia,17-01-2023,29.8,14,22.4,58.6
australia,18-01-2023,29,15.1,20.3,79.8
australia,19-01-2023,19.9,13,16.8,71.5
australia,20-01-2023,20,7,14.5,68.7
australia,21-01-2023,24.2,7.9,16.6,62.5
australia,22-01-2023,22,12,15.9,77
australia,23-01-2023,24.5,12,16.8,77.7
australia,24-01-2023,28.7,10.1,18.1,70.3
australia,25-01-2023,29.1,11.9,20.7,61.1
australia,26-01-2023,32.7,11,20.8,64.4
australia,27-01-2023,26.8,16.8,20.3,69.9
australia,28-01-2023,34.1,17.3,25,57.3
australia,29-01-2023,23.8,18.9,21.2,85.8
australia,30-01-2023,20.9,17.2,19,93.3
australia,31-01-2023,26.7,16.1,20.7,71.7
australia,01-02-2023,29,15,21.4,60.3
australia,02-02-2023,25.9,13,19.4,62.9
australia,03-02-2023,18,10.8,14.6,49
australia,04-02-2023,18,7.9,13.7,58.6
australia,05-02-2023,27,11.5,18.7,54.4
australia,06-02-2023,29.2,13,20.9,61.7
australia,07-02-2023,27.1,16,20.2,72.2
australia,08-02-2023,22.1,15.1,18.4,74.9
australia,09-02-2023,22,15.2,17.8,83.5
australia,10-02-2023,29.9,10.2,19.9,68.9
australia,11-02-2023,33,12,22.4,56.7
australia,12-02-2023,29,11.1,20.4,60.7
australia,13-02-2023,22.9,12.9,17.4,79.1
australia,14-02-2023,23.7,11.8,16.6,77.8
australia,15-02-2023,27.7,13,20,64.7
australia,16-02-2023,30.8,12,21.6,64.1
australia,17-02-2023,33.1,14.8,23,57.7
australia,18-02-2023,35,16,23.4,59.1
australia,19-02-2023,30.7,10.3,21,59.7
australia,20-02-2023,33,14.1,23.2,66.6
australia,21-02-2023,29.1,16.9,20.9,78.2
australia,22-02-2023,19.9,14.7,16.5,66.8
australia,23-02-2023,21.7,9.7,15.8,69.7
australia,24-02-2023,23.9,8.8,16.7,69.2
australia,25-02-2023,27.1,10,18.7,64.4
australia,26-02-2023,29.5,12,20.3,59.1
australia,27-02-2023,27.7,13,19.3,67.4
australia,28-02-2023,27.7,16,20.7,65.9
australia,01-03-2023,26.6,14,19.3,72.1
australia,02-03-2023,27.7,15.2,20.4,66.4
australia,03-03-2023,25,16,19.8,71.2
australia,04-03-2023,24.8,11.4,18.8,70.2
australia,05-03-2023,28.7,11.3,19.6,74.6
australia,06-03-2023,27,13.8,20.3,66.9
australia,07-03-2023,23.9,11.9,18.6,44.7
australia,08-03-2023,19.7,13,16.6,50.8
australia,09-03-2023,21.7,10.1,15.4,53.4
australia,10-03-2023,25.9,4,15.3,61.3
australia,11-03-2023,26.9,11.7,19.1,63.9
australia,12-03-2023,26.8,11.7,18.3,69.9
australia,13-03-2023,22.8,13.7,17.5,67
australia,14-03-2023,22.9,11.9,17.3,77.6
australia,15-03-2023,27.8,12,19.5,69.8
australia,16-03-2023,29.7,11,20.8,56
australia,17-03-2023,29.9,14.8,22.1,43
australia,18-03-2023,31.7,7.2,19.2,53.1
australia,19-03-2023,36.8,10.7,22.7,45.2
australia,20-03-2023,20.9,14.7,17.1,68.2
australia,21-03-2023,18,13.5,15.3,74.4
australia,22-03-2023,21.7,12.8,15.9,85.6
australia,23-03-2023,20.7,10.5,14.6,94.2
australia,24-03-2023,24.6,7.9,16,77.8
australia,25-03-2023,18,13.9,16,86.1
australia,26-03-2023,22.9,14,18,78.3
australia,27-03-2023,22.9,15.9,18.3,82.6
australia,28-03-2023,24,15.8,18.4,80.3
australia,29-03-2023,20.5,14.7,16.6,84
australia,30-03-2023,18.9,8,13.3,71.7
australia,31-03-2023,20,4.8,12.5,68.7
australia,01-04-2023,17.6,5.9,11.3,76.9
australia,02-04-2023,17.9,3.4,11.5,80.4
australia,03-04-2023,19.9,8.2,14.4,82
australia,04-04-2023,23.7,10.2,16.8,75.4
australia,05-04-2023,23.8,8.8,15.5,75.6
australia,06-04-2023,20.9,7.8,14.3,77.5
australia,07-04-2023,14.9,7.9,12.2,95.7
australia,08-04-2023,17.7,8.1,13,74.6
australia,09-04-2023,15.7,8.8,11.9,58.5
australia,10-04-2023,15.8,1.1,8.9,67
australia,11-04-2023,19,1.9,10.7,72
australia,12-04-2023,12.1,4.3,9,95.3
australia,13-04-2023,19,6.4,12.3,83.4
australia,14-04-2023,19.8,7.5,12.8,77
australia,15-04-2023,20.6,7.3,14.4,75.2
australia,16-04-2023,16.8,8.1,13.2,81.5
australia,17-04-2023,18.7,2,9.1,79.1
australia,18-04-2023,20.7,4,12.2,75.8
australia,19-04-2023,21.1,4.7,12.9,76.1
australia,20-04-2023,16.9,11.2,13.6,75.5
australia,21-04-2023,19.9,7,12.7,73.4
australia,22-04-2023,21.1,3.1,11.2,79.1
australia,23-04-2023,21,4.9,12.8,79.4
australia,24-04-2023,20.8,5.2,13.3,74.3
australia,25-04-2023,21.7,4,12.1,77.1
australia,26-04-2023,20.7,3.1,11.4,78.6
australia,27-04-2023,20.7,5.1,12.1,79.5
australia,28-04-2023,21.7,4.2,12.8,82.1
australia,29-04-2023,14.8,10,12.5,97.2
australia,30-04-2023,10.1,8.7,9.5,93.7
australia,01-05-2023,13.8,7.9,10,88.2
australia,02-05-2023,15.9,6.9,10.8,78.8
australia,03-05-2023,13.9,8.8,11.4,70.7
australia,04-05-2023,16,-0.8,7.5,75.6
australia,05-05-2023,14.1,-1,6.3,81.6
australia,06-05-2023,15.1,-1,7.3,81.2
australia,07-05-2023,8.1,3.8,5.7,92.5
australia,08-05-2023,12.6,0,6.4,66.3
australia,09-05-2023,14.9,-2.8,5.1,82.1
australia,10-05-2023,16,-0.1,7.4,76.4
australia,11-05-2023,16.9,2.7,9,77.6
australia,12-05-2023,18,-1.8,7.7,79.3
australia,13-05-2023,16,-0.1,7.9,85.9
australia,14-05-2023,16.8,4.9,10.3,81.4
australia,15-05-2023,17.9,4,9.9,79.9
australia,16-05-2023,17.8,-0.9,7.7,75.7
australia,17-05-2023,13.7,0.9,7.4,68.7
australia,18-05-2023,13.8,-0.4,5.5,77.8
australia,19-05-2023,12.8,-3.8,4.1,78.7
australia,20-05-2023,12,-3.7,4.8,83.2
australia,21-05-2023,14.7,0.8,8.6,66.8
australia,22-05-2023,14,-4.1,4.1,79.7
australia,23-05-2023,13.6,-0.8,4.2,89
australia,24-05-2023,13.7,-3.7,3.8,85.2
australia,25-05-2023,15.9,0.1,8.6,66.5
australia,26-05-2023,12.1,-0.8,7.5,67
australia,27-05-2023,10.8,-2.9,2.4,84.8
australia,28-05-2023,11,-5.2,3.5,89
australia,29-05-2023,12.9,7.1,9.7,70.7
australia,30-05-2023,13.1,6.4,9.9,81.7
australia,31-05-2023,13.7,10.5,11.7,83.5
australia,01-06-2023,17.9,5.9,12.7,75.3
australia,02-06-2023,16.9,5.7,9.9,86
australia,03-06-2023,17.9,6.9,10.9,89.1
australia,04-06-2023,14,9.8,11.4,78.9
australia,05-06-2023,12.9,8.1,10.3,77.5
australia,06-06-2023,13.7,7.2,10.6,89.6
australia,07-06-2023,16,8.9,11.3,95.1
australia,08-06-2023,12.9,8.9,10.6,88.1
australia,09-06-2023,12.9,5.9,9.6,67.3
australia,10-06-2023,13,-1.8,5.2,79.5
australia,11-06-2023,14.8,-2.9,4,82.2
australia,12-06-2023,10.7,-1.9,4.1,90.9
australia,13-06-2023,14.6,6,8.9,88.6
australia,14-06-2023,11,5.9,7.7,72.4
australia,15-06-2023,12.8,2.6,7.5,77.3
australia,16-06-2023,14,0,5.8,86.5
australia,17-06-2023,13.7,-2.2,4.8,82
australia,18-06-2023,10.7,-0.6,5,80.7
australia,19-06-2023,8.8,0.7,4.9,82.8
australia,20-06-2023,9,-4.7,1.2,85.5
australia,21-06-2023,11.8,-6.1,1.5,83.5
australia,22-06-2023,9,0.1,4.8,89.7
australia,23-06-2023,10.7,5.7,7.4,87.3
